,,JOIN,,,WIKIVEC,,,LLM,,,
Source Node,Target Node,time,length,nn,nt,time,length,nn,nt,time,length,nn,nt
Athens,Moscow,11,4,0.26,0.29,161,6,0.65,0.42,46,6,0.63,0.39
Hanoi,The_Beatles,220,11,0.3,0.36,2109,38,0.65,0.44,1291,22,0.51,0.41
Hanoi,Barcelona,389,0,0,0,372,35,0.63,0.39,313,9,0.48,0.26
Heraklion,Montevideo,393,0,0,0,223,13,0.59,0.48,190,8,0.51,0.36
Albert_Einstein,Moscow,392,0,0,0,3,0,0,0,3,0,0,0
Microsoft,Crete,46,6,0.22,0.24,702,27,0.61,0.4,199,15,0.51,0.38
Marie_Curie,Nigeria,16,4,0.43,0.22,14113,25,0.49,0.38,169,9,0.47,0.34
Adolf_Hitler,Nicaragua,30,5,0.58,0.35,145,10,0.57,0.39,281,9,0.45,0.26
Battle_of_France,Amstrad,42.591482162475586,0,0,0,0.46984028816223145,0,0,0,0.45830535888671875,0,0,0
Vincent_van_Gogh,Edessa,57.46025729179382,0,0,0,1278,33,0.66,0.54,0,0,0,0
