,,WORD2VEC,,,FASTTEXT,,,SBERT,,,
Source Node,Target Node,time,length,nn,nt,time,length,nn,nt,time,length,nn,nt
Athens,Moscow,148,11,0.62,0.48,360,0,0,0,128,10,0.55,0.58
Hanoi,The_Beatles,400,0,0,0,400,0,0,0,400,0,0,0
Hanoi,Barcelona,400,0,0,0,400,0,0,0,161,11,0.56,0.49
Heraklion,Montevideo,400,0,0,0,400,0,0,0,360,21,0.52,0.45
Albert_Einstein,Moscow,154,6,0.5,0.48,400,0,0,0,177,12,0.52,0.52
Microsoft,Crete,400,0,0,0,400,0,0,0,400,0,0,0
Marie_Curie,Nigeria,400,0,0,0,400,0,0,0,400,0,0,0
Adolf_Hitler,Nicaragua,400,0,0,0,400,0,0,0,400,0,0,0
Battle_of_France,Amstrad,400,0,0,0,400,0,0,0,400,0,0,0
Italy,Mona_Lisa,400,0,0,0,400,0,0,0,400,0,0,0
Napoleon,Alexander_the_Great,400,0,0,0,400,0,0,0,400,0,0,0
Smiljan,Elon_Musk,400,0,0,0,400,0,0,0,400,0,0,0
Mahatma_Gandhi,Barack_Obama,400,0,0,0,202,2,0.47,0.24,198,10,0.63,0.52
Nikola_Tesla,Google,400,0,0,0,400,0,0,0,169,5,0.48,0.27
The_Flintstones,Family_Guy,400,0,0,0,400,0,0,0,400,0,0,0
Albert_Einstein,India,400,0,0,0,132,9,0.57,0.51,84,8,0.38,0.45
Plato,Martin_Luther_King_Jr.,27,6,0.54,0.37,400,0,0,0,400,0,0,0
Finland,NATO,400,0,0,0,400,0,0,0,400,0,0,0
Austria,Adolf_Hitler,400,0,0,0,113,4,0.54,0.58,57,3,0.49,0.28
Mona_Lisa,California,400,0,0,0,400,0,0,0,275,12,0.49,0.47
Kyriakos_Mitsotakis,Winston_Churchill,400,0,0,0,400,0,0,0,400,0,0,0
Herne_Bay_High_School,Paris,400,0,0,0,400,0,0,0,63,8,0.54,0.43
Boris_Yeltsin,China,400,0,0,0,400,0,0,0,84,5,0.58,0.5
Heraklion,Artificial_intelligence,400,0,0,0,400,0,0,0,313,14,0.45,0.29
Stephen_Hawking,Ludwig_van_Beethoven,400,0,0,0,400,0,0,0,400,0,0,0
Indonesia,Java_(programming_language),93,7,0.64,0.38,13,5,0.62,0.53,32,3,0.63,0.37
California,Vikings,400,0,0,0,400,0,0,0,400,0,0,0
Examilia,Ano_Liosia,400,0,0,0,400,0,0,0,400,0,0,0
Rome,Sarajevo,400,0,0,0,400,0,0,0,86,10,0.69,0.6
Battle_of_Dunkirk,Unix,400,0,0,0,400,0,0,0,400,0,0,0
Amish,Commodore_Amiga,400,0,0,0,400,0,0,0,400,0,0,0
