,,JOIN,,,WIKIVEC,,,LLM,,,
Source Node,Target Node,time,length,nn,nt,time,length,nn,nt,time,length,nn,nt
Athens,Moscow,2,4,0.53,0.42,29,5,0.44,0.34,0,0,0,0
Hanoi,The_Beatles,360,0,0,0,360,0,0,0,0,0,0,0
Hanoi,Barcelona,360,0,0,0,98,14,0.59,0.48,0,0,0,0
Heraklion,Montevideo,43,5,0.45,0.38,25,7,0.37,0.3,0,0,0,0
Albert_Einstein,Moscow,1,2,0.47,0.36,1,3,0.31,0.24,0,0,0,0
Marie_Curie,Nigeria,50,5,0.42,0.46,35,10,0.59,0.5,0,0,0,0
Adolf_Hitler,Nicaragua,21,5,0.54,0.37,80,14,0.57,0.42,0,0,0,0
Battle_of_France,Amstrad,27.109014987945557,0,0,0,360,0,0,0,0,0,0,0
Italy,Mona_Lisa,360,0,0,0,360,0,0,0,0,0,0,0
Napoleon,Alexander_the_Great,360,0,0,0,360,0,0,0,0,0,0,0
Smiljan,Elon_Musk,5.203283786773682,0,0,0,0.34751057624816895,0,0,0,0,0,0,0
Mahatma_Gandhi,Barack_Obama,79,11,0.25,0.19,360,0,0,0,0,0,0,0
Nikola_Tesla,Google,5.129795789718628,0,0,0,360,0,0,0,0,0,0,0
The_Flintstones,Family_Guy,5.114218473434448,0,0,0,360,0,0,0,0,0,0,0
Albert_Einstein,India,1,2,0.36,0.3,3,6,0.39,0.36,0,0,0,0
Plato,Martin_Luther_King_Jr.,5.13680624961853,0,0,0,360,0,0,0,0,0,0,0
Finland,NATO,360,0,0,0,0,2,0.18,0.18,0,0,0,0
Austria,Adolf_Hitler,1,3,0.42,0.36,1,5,0.52,0.44,0,0,0,0
Mona_Lisa,California,9,6,0.42,0.27,360,0,0,0,0,0,0,0
Kyriakos_Mitsotakis,Winston_Churchill,55,7,0.31,0.25,360,0,0,0,0,0,0,0
Herne_Bay_High_School,Paris,247.53099727630615,0,0,0,19.9465651512146,0,0,0,0,0,0,0
Boris_Yeltsin,China,1,2,0.57,0.45,1,3,0.38,0.3,0,0,0,0
Heraklion,Artificial_intelligence,5.138322830200195,0,0,0,360,0,0,0,0,0,0,0
Stephen_Hawking,Ludwig_van_Beethoven,360,0,0,0,360,0,0,0,0,0,0,0
Indonesia,Java_(programming_language),17.085094451904297,0,0,0,2,3,0.46,0.3,0,0,0,0
California,Vikings,5.750192880630493,0,0,0,260,25,0.66,0.33,0,0,0,0
Examilia,Ano_Liosia,2,5,0.42,0.52,5,8,0.34,0.44,0,0,0,0
Rome,Sarajevo,2,4,0.52,0.43,3,5,0.47,0.4,0,0,0,0
Battle_of_Dunkirk,Unix,5.06715726852417,0,0,0,360,0,0,0,0,0,0,0
Microsoft,Crete,210,9,0.22,0.41,360,0,0,0,0,0,0,0
Amish,Commodore_Amiga,5.61554741859436,0,0,0,21.91400694847107,0,0,0,0,0,0,0
