,,WORD2VEC,,,FASTTEXT,,,SBERT,,,
Athens,Moscow,15,7,0.57,0.5,4,6,0.73,0.63,50,7,0.74,0.56
Hanoi,The_Beatles,400,0,0,0,400,0,0,0,400,0,0,0
Hanoi,Barcelona,400,0,0,0,122,12,0.61,0.5,400,0,0,0
Heraklion,Montevideo,400,0,0,0,400,0,0,0,400,0,0,0
Albert_Einstein,Moscow,7,4,0.57,0.52,12,7,0.63,0.57,33,4,0.59,0.46
Microsoft,Crete,400,0,0,0,400,0,0,0,400,0,0,0
Marie_Curie,Nigeria,400,0,0,0,400,0,0,0,316,19,0.71,0.59
Adolf_Hitler,Nicaragua,400,0,0,0,11,7,0.58,0.46,207,6,0.54,0.46
Battle_of_France,Amstrad,400,0,0,0,400,0,0,0,400,0,0,0
Italy,Mona_Lisa,400,0,0,0,400,0,0,0,400,0,0,0
Napoleon,Alexander_the_Great,400,0,0,0,400,0,0,0,400,0,0,0
Smiljan,Elon_Musk,0,0,0,0,0,0,0,0,0,0,0,0
Mahatma_Gandhi,Barack_Obama,400,0,0,0,400,0,0,0,400,0,0,0
Nikola_Tesla,Google,400,0,0,0,400,0,0,0,400,0,0,0
The_Flintstones,Family_Guy,400,0,0,0,400,0,0,0,400,0,0,0
Albert_Einstein,India,56,7,0.51,0.54,1,2,0.45,0.45,96,5,0.59,0.49
Plato,Martin_Luther_King_Jr.,121,27,0.56,0.39,400,0,0,0,400,0,0,0
Finland,NATO,1,1,0.33,0.33,0,1,0.49,0.49,4,1,0.4,0.4
Austria,Adolf_Hitler,24,3,0.64,0.49,1,3,0.7,0.63,61,7,0.64,0.48
Mona_Lisa,California,313,20,0.61,0.47,40,8,0.58,0.43,159,11,0.64,0.43
Kyriakos_Mitsotakis,Winston_Churchill,400,0,0,0,400,0,0,0,400,0,0,0
Herne_Bay_High_School,Paris,2,0,0,0,2,0,0,0,2,0,0,0
Boris_Yeltsin,China,1,2,0.42,0.32,1,2,0.51,0.49,13,2,0.57,0.43
Heraklion,Artificial_intelligence,400,0,0,0,400,0,0,0,400,0,0,0
Stephen_Hawking,Ludwig_van_Beethoven,400,0,0,0,400,0,0,0,400,0,0,0
Indonesia,Java_(programming_language),1,2,0.56,0.56,1,2,0.68,0.65,8,2,0.52,0.4
California,Vikings,400,0,0,0,400,0,0,0,400,0,0,0
Examilia,Ano_Liosia,400,0,0,0,400,0,0,0,9,7,0.46,0.34
Rome,Sarajevo,400,0,0,0,39,17,0.54,0.44,29,5,0.69,0.58
Battle_of_Dunkirk,Unix,400,0,0,0,400,0,0,0,400,0,0,0
Amish,Commodore_Amiga,6,0,0,0,1,0,0,0,1,0,0,0
